"","LIPPOS16JULY_04-D21_M26","LIPPOS16JULY_10-D21_M3","LIPPOS16JULY_17-D21_M10","LIPPOS16JULY_18-D21_M6","LIPPOS16JULY_22-D21_M5","LIPPOS16JULY_23-D21_M7","LIPPOS16JULY_24-D21_M21","LIPPOS16JULY_34-D21_M15","LIPPOS16JULY_36-D21_M24","LIPPOS16JULY_44-D21_M1","LIPPOS16JULY_45-D21_M2","LIPPOS16JULY_46-D21_M23","LIPPOS16JULY_48-D21_M8","LIPPOS16JULY_50-D21_M19","LIPPOS16JULY_51-D21_M22","LIPPOS16JULY_53-D21_M27","LIPPOS16JULY_55-D21_M20","LIPPOS16JULY_65-D21_M12","LIPPOS16JULY_69-D21_M18","LIPPOS16JULY_79-D21_M11","LIPPOS16JULY_81-D21_M13","LIPPOS16JULY_84-D21_M4","LIPPOS16JULY_88-D21_M25","LIPPOS16JULY_94-D21_M16","LIPPOS16JULY_08-D35_M4","LIPPOS16JULY_11-D35_M6","LIPPOS16JULY_14-D35_M2","LIPPOS16JULY_16-D35_M16","LIPPOS16JULY_19-D35_M12","LIPPOS16JULY_20-D35_M18","LIPPOS16JULY_25-D35_M1","LIPPOS16JULY_35-D35_M19","LIPPOS16JULY_37-D35_M23","LIPPOS16JULY_42-D35_M13","LIPPOS16JULY_56-D35_M22","LIPPOS16JULY_57-D35_M10","LIPPOS16JULY_58-D35_M11","LIPPOS16JULY_59-D35_M20","LIPPOS16JULY_60-D35_M3","LIPPOS16JULY_62-D35_M24","LIPPOS16JULY_67-D35_M21","LIPPOS16JULY_68-D35_M27","LIPPOS16JULY_73-D35_M26","LIPPOS16JULY_74-D35_M5","LIPPOS16JULY_83-D35_M15","LIPPOS16JULY_86-D35_M7","LIPPOS16JULY_87-D35_M25","LIPPOS16JULY_92-D35_M8","LIPPOS16JULY_03-D7_M7","LIPPOS16JULY_05-D7_M27","LIPPOS16JULY_06-D7_M23","LIPPOS16JULY_09-D7_M8","LIPPOS16JULY_12-D7_M18","LIPPOS16JULY_13-D7_M25","LIPPOS16JULY_15-D7_M16","LIPPOS16JULY_21-D7_M10","LIPPOS16JULY_26-D7_M19","LIPPOS16JULY_28-D7_M12","LIPPOS16JULY_39-D7_M21","LIPPOS16JULY_41-D7_M20","LIPPOS16JULY_43-D7_M6","LIPPOS16JULY_47-D7_M13","LIPPOS16JULY_52-D7_M11","LIPPOS16JULY_54-D7_M3","LIPPOS16JULY_61-D7_M2","LIPPOS16JULY_64-D7_M26","LIPPOS16JULY_70-D7_M24","LIPPOS16JULY_71-D7_M15","LIPPOS16JULY_75-D7_M22","LIPPOS16JULY_82-M1_D7","LIPPOS16JULY_85-D7_M4","LIPPOS16JULY_89-D7_M5","LIPPOS16JULY_02-M21","LIPPOS16JULY_07-M3","LIPPOS16JULY_27-M11","LIPPOS16JULY_29-M20","LIPPOS16JULY_30-M4","LIPPOS16JULY_31-M22","LIPPOS16JULY_32-M5","LIPPOS16JULY_33-M13","LIPPOS16JULY_38-M19","LIPPOS16JULY_40-M1","LIPPOS16JULY_49-M27","LIPPOS16JULY_63-M16","LIPPOS16JULY_66-M23","LIPPOS16JULY_72-M26","LIPPOS16JULY_76-M10","LIPPOS16JULY_77-M8","LIPPOS16JULY_78-M2","LIPPOS16JULY_80-M12","LIPPOS16JULY_90-M24","LIPPOS16JULY_91-M7","LIPPOS16JULY_93-M6","LIPPOS16JULY_95-M18"
"TAG 48:0; TAG 15:0-16:0-17:0; [M+NH4]+"," 41212"," 38546"," 39299"," 35170"," 45338"," 46011"," 44511"," 39556"," 43843"," 32383"," 30813"," 37262"," 28474"," 29232"," 33949"," 36316"," 35377"," 27101"," 28095"," 35121"," 36963"," 27165"," 31480"," 31002"," 50139"," 42870"," 50369"," 41962"," 41535"," 39157"," 39342"," 34907"," 34677"," 35940"," 40574"," 37058"," 27673"," 38742"," 32953"," 37346"," 51643"," 35851"," 28819"," 35041"," 23990"," 41920"," 30736"," 35583"," 41403"," 45025"," 44129"," 42007"," 38916"," 53481"," 38419"," 47149"," 43773"," 33245"," 38201"," 35981"," 38059"," 36856"," 36385"," 30577"," 40388"," 25520"," 31383"," 29691"," 37554"," 27179"," 31710"," 35160"," 35476"," 30195"," 42445"," 47532"," 30411"," 63213"," 32694","189859"," 31450"," 39690"," 77319"," 48490","179863"," 57971"," 69222"," 41127"," 69550","299265"," 44719"," 50214"," 34584","  3154"
"TAG 48:1; TAG 14:0-16:0-18:1; [M+NH4]+","  40847","  26132","  21843","  24973","  32191","  23747","  31330","  21432","  41733","  18384","  21225","  38473","  15040","  20285","  28952","  23486","  22911","  16548","  36841","  24112","  28168","  27776","  21512","  30124","  21837","  36152","  30575","  27678","  25886","  19056","  15394","  22536","  22350","  25909","  31899","  24047","  20080","  15707","  24599","  24503","  36680","  18534","  20976","  32697","  15192","  15063","  17883","  23828","  15397","  24618","  56273","  46983","  31799","  35922","  55124","  31392","  51782","  30016","  25219","  34578","  23562","  28139","  17576","  19675","  23985","  44918","  19759","  25009","  27463","  18983","  20689","  39548"," 455247"," 214333"," 520281"," 445790"," 158436"," 232418"," 194250"," 798744"," 243981"," 170819"," 542998"," 230741"," 333099"," 390067"," 314737"," 362105"," 414739","1837272"," 539734"," 473017"," 188902","  77198"
"TAG 48:2; TAG 14:0-16:0-18:2; [M+NH4]+","  58850","  25354","  15644","  24207","  31890","  16682","  26214","  22952","  48833","  20979","  23726","  55286","  10781","  19499","  31518","  18991","  21350","  10229","  49245","  19458","  30175","  37471","  18727","  33067","  16715","  35240","  30878","  20676","  22598","  12637","  14841","  14755","  11857","  23419","  26449","  14887","  16458","  12696","  17253","  22806","  26349","  16465","  20912","  33347","   9460","  15465","  17013","  24355","  13807","  24831","  90206","  41751","  38513","  47446","  78284","  26832","  83257","  28045","  20122","  44011","  43067","  35336","  16107","  20434","  21239","  47301","  16130","  26269","  21615","  33461","  22484","  30785"," 659427"," 388916"," 379630"," 552711"," 300950"," 213561"," 490721"," 683084"," 361348"," 313834"," 548556"," 362418"," 393042"," 549883"," 326726"," 384669"," 650481","4000597"," 830234"," 460825"," 456739","   2861"
"TAG 48:2; TAG 14:0-16:1-18:1; [M+Na]+"," 6681"," 2423"," 1606"," 3346"," 2925"," 2652"," 4927"," 2494"," 4029"," 2960"," 1560"," 6226"," 1567"," 2220"," 4978"," 3190"," 1812"," 1491"," 6296"," 2401"," 3174"," 2571"," 1863"," 2087"," 2168"," 4440"," 3082"," 1640"," 3760"," 2102"," 1424"," 3503"," 1235"," 3701"," 2570","  744"," 2341"," 2175"," 1289"," 2544"," 3681"," 1553"," 2491"," 2716"," 1393"," 1198"," 2522"," 2974"," 1305"," 3438"," 7920"," 4795"," 3142"," 4248"," 7951"," 4152"," 8873"," 3460"," 2234"," 4763"," 3642"," 2882"," 2951"," 1896"," 2483"," 3843"," 1989"," 3403"," 3730"," 4072"," 2176"," 4136","42360","21034","20864","38128"," 9817","20347","21839","40993","20783","21210","36556","22963","27125","38689","33168","21640","36509","83786","41965","22532","18533","40788"
"TAG 48:3; TAG 14:0-16:1-18:2; [M+Na]+"," 4855"," 1051","  745"," 1807"," 2902"," 1166"," 1486"," 1708"," 2795","  635"," 1550"," 5634","  360"," 1712"," 2208"," 1829","  849","  481"," 4205"," 1764"," 2568"," 2595","  941"," 2007","  614"," 2967"," 2112","  950"," 1500","  556"," 1383","  478"," 1272"," 1894"," 1653","  468","  791","  626"," 1843"," 1764"," 1480","  765"," 1443"," 2075"," 1116","  768"," 1761","  996","  619"," 1714"," 8305"," 3524"," 4867"," 3426"," 6626"," 2553"," 5239"," 3350"," 1861"," 2776"," 3518"," 2252"," 1493"," 2053"," 1630"," 2806"," 1255"," 2309"," 1205"," 2803"," 1115"," 1237","24418","22907","16872","24813","16636","14641","24794","21635","19048","19867","23218","22355","15290","30994","17536","16455","29528","49845","29764","13762","23077","62102"
"TAG 48:3; TAG 14:0-16:1-18:2; [M+NH4]+","  29203","  11558","   4104","   8833","  19059","   5489","   9766","  11775","  20071","  11053","   8234","  28911","   3828","   9747","   9833","   7280","   9102","    341","  26970","   6724","  15535","  19027","   7209","  19450","   9013","  21698","  14368","  17174","   6710","   5264","   3585","   6083","   6248","  11903","  10070","   5350","   7524","   6958","   9310","  11546","  10561","   6079","   7514","  13850","   3748","   6236","   6395","   7270","   4324","  14945","  50626","  16737","  24789","  23599","  44599","   8400","  42945","  11320","  11374","  17491","  25490","  15687","   7024","  10111","  13642","  19294","   8039","  15662","   9757","  16638","  12320","   9840"," 244374"," 208336"," 153073"," 192580"," 159404","  58395"," 221422"," 159339"," 222714"," 183982"," 218799"," 158831"," 126815"," 207587","  97215"," 101641"," 337194","1765063"," 437625"," 170321"," 242447","    180"
"TAG 48:4; TAG 14:1-16:1-18:2; [M+NH4]+","   964","  3578","  1320","  1463","  7503","   966","  2945","  2313","  6819","  3807","  1421"," 11147","   165","  5070","  4974","  2113","  3454","  1784","  8912","  1986","  6392","  5514","  2413","  6974","  4561","  7486","  6511","  7825","  2269","  1656","  1217","  2479","  1523","  3109","  3674","   600","  1798","  3572","  3044","  3990","  3871","   710","  2704","  5572","   986","   550","  1862","  1209","  1502","  5708"," 23753","  4601","  8252","  8777"," 22316","  3897"," 20497","  4609","   824","  6278"," 11774","  4641","  2645","  3497","  5260","  5515","  3122","  5552","  2640","  5124","  5901","  2408"," 33236"," 32057"," 23623"," 25467"," 44157","  9071"," 51384"," 29507"," 49794"," 41801"," 38059"," 33872"," 17270"," 27037"," 11754"," 13843"," 44565","176292"," 53377"," 20902"," 36632","  3962"
"TAG 49:1; TAG 15:0-16:0-18:1; [M+NH4]+"," 15447"," 13639"," 13140"," 10038"," 12017"," 12167"," 12221","  9600"," 13469"," 10369"," 10314"," 15443"," 10488"," 10430"," 14928"," 10254"," 11426"," 14174"," 11564","  9853"," 17257"," 10752"," 12156","  9743","  8615"," 17601"," 14783"," 16314"," 14126"," 11693"," 10054"," 10998"," 10531"," 10929"," 14995"," 19429"," 11497"," 13985"," 15618","  9737"," 15530"," 14840"," 11154","  9281","  9889"," 12297"," 10939"," 10934"," 12863"," 14837"," 19362"," 13650"," 15357"," 13596"," 19474"," 15934"," 20045"," 14224"," 14093"," 16070"," 12720"," 14625","  9758"," 11574"," 12056"," 11537"," 10552"," 15146"," 13242","  9887"," 11863"," 12356"," 16988"," 10483"," 22931"," 11668"," 19484"," 11597"," 19902"," 22305"," 17224"," 11712"," 13060"," 21517"," 19045","  9584"," 13842"," 10554"," 26815","121022"," 26310"," 13150"," 20882","  2000"
"TAG 49:2; TAG 15:0-16:1-18:1; [M+NH4]+","  6227","  5029","  6334","  5515","  8157","  5047","  5601","  5078","  8909","  5579","  7259","  4827","  4748","  4134","  5271","  3763","  4607","  3936","  4341","  5444","  5764","  5750","  4185","  8180","  5764","  7737","  9085","  6812","  6183","  6515","  7276","  4847","  4308","  5935","  7963","  5861","  4463","  4582","  3819","  5931","  3453","  3164","  4121","  5988","  3016","  4412","  3454","  4259","  6091","  6233","  9272","  6238","  8750","  6794","  9100","  9441"," 10000","  3868","  5071","  6680","  5775","  6153","  5160","  3518","  4588","  7365","  3329","  6591","  4248","  5832","  5356","  4739"," 13627"," 11290","  8860","  8381"," 13323","  7871"," 12654"," 18322"," 11782"," 15352"," 15846","  7488"," 10650","  9598","  8097","  6422"," 38340","121408"," 20504"," 13154"," 12344","  1070"
"TAG 49:3; TAG 15:0-16:1-18:2; [M+NH4]+"," 3349"," 2989"," 3040"," 2950"," 3861"," 2944"," 2648"," 2476"," 4296"," 2838"," 3491"," 2669"," 1801"," 2852"," 3572"," 3083"," 3170"," 2213"," 3512"," 2120"," 2203"," 2913"," 1898"," 3269"," 1706"," 4578"," 5318"," 5459"," 2747"," 2848"," 1829"," 1981"," 1998"," 2166"," 2557"," 3338"," 2840"," 3888"," 2839"," 2388"," 2926"," 2099"," 3520"," 2114"," 2054"," 2240"," 1926"," 2068"," 1099"," 3560"," 4111"," 2909"," 5131"," 5097"," 4764"," 3240"," 5303"," 3313"," 2894"," 3968"," 3700"," 2684"," 1594"," 2370"," 1837"," 4265"," 1118"," 3766"," 1943"," 3127"," 2389"," 2209"," 8959","11743"," 6353","11053","10070"," 3180","11758"," 7077","11379","13011"," 7959"," 8845"," 5822"," 8268"," 5233"," 4846","16784","38570","12646"," 5999","10076"," 5031"
"TAG 50:0; TAG 16:0-16:0-18:0; [M+Na]+","  2668","  2549","  1776","  4089","   189","  2635","  2294","   414","  4521","  1341","  4999","  2474","   401","  2768","  2120","  3328","  4735","  1243","  4661","  3522","  1828","  4569","  1903","  3315","  2147","  3363","  2814","  2306","  1739","  2035","   268","  2369","  1602","  1725","  2530","   763","  2417","  1697","  2443","    96","  6419","  1732","  2381"," 10499","   871","  1203","  3376","  2078","   815","   280","  4534","  5236","  2606","  7938","  5795","  4019","  9649","  2424","  1694","  2812","  4899","   193","  2009","  2896","  3360","  9524","  1976","  2170","  3464","  4420","  3269","  2111"," 11743"," 24066","  6430","  9240"," 17227"," 10308"," 14158"," 13745","  5929"," 11193"," 11743","  9512","  9121"," 14427"," 13294"," 13687"," 32187"," 45935"," 18078","  5888","  1225","101338"
"TAG 50:0; TAG 16:0-16:0-18:0; [M+NH4]+"," 16269"," 20858"," 20580"," 16674"," 25578"," 18651"," 12875"," 21008"," 18179"," 14884"," 12402"," 20028"," 16602"," 14393"," 11648"," 14461"," 14525"," 17665"," 14950"," 14994"," 16923"," 13598"," 14051"," 17075"," 18869"," 25179"," 26377"," 22239"," 23588"," 16966"," 15816"," 14845"," 18585"," 13664"," 17937"," 14823"," 13450"," 14075"," 14838"," 17895"," 17389"," 19045"," 13670"," 17889"," 15507"," 18497"," 10927"," 14403"," 18122"," 16690"," 25212"," 20025"," 21356"," 29669"," 21595"," 19599"," 24405"," 15717"," 17660"," 20129"," 15815"," 20640"," 15442"," 20051"," 18344"," 16348"," 13233"," 15530"," 16336","  9540"," 14391"," 16813"," 21507"," 17138"," 32761","  1999"," 14625"," 50676"," 15414","232082"," 10251"," 27342"," 67638"," 26318","149000"," 50836"," 41632"," 24834"," 64890","363320"," 27284"," 16022"," 16614"," 28738"
"TAG 50:1; TAG 16:0-16:0-18:1; [M+Na]+"," 6708"," 4701"," 5088"," 5675"," 7649"," 4406"," 6979"," 7863"," 7317"," 4300"," 3685"," 8186"," 3524"," 4617"," 6255"," 8116"," 4266"," 3154"," 8147"," 8360"," 6363"," 5787"," 3772"," 6477"," 3771"," 6903"," 5729"," 7017"," 6435"," 5475"," 4565"," 3801"," 4876"," 5956"," 5736"," 2614"," 4964"," 5061"," 4546"," 8913"," 6889"," 4335"," 4052"," 5880"," 2540"," 4891"," 2949"," 2344"," 3898"," 5656"," 8401"," 9738"," 9624"," 5662","10062"," 4728","12950"," 7405"," 5666"," 7121"," 6720"," 6442"," 5441"," 3987"," 4098"," 7335"," 3185"," 6514"," 7963"," 4968"," 2651"," 6843","30608","19656","28837","22264"," 9848","19713","15588","35843","13464","16574","32400","13732","30517","21240","18927","22573","28123","54897","21278","28897","12694","26996"
"TAG 50:1; TAG 16:0-16:0-18:1; [M+NH4]+","  82205","  52926","  47078","  43579","  49082","  45552","  83332","  57173"," 122302","  31282","  58627","  56026","  27961","  41484","  63243","  68264","  44374","  30457","  84264","  67833","  93646","  78185","  53265","  55693","  41455","  61314","  58280","  48302","  51197","  28307","  29197","  34181","  40166","  64299","  69298","  33603","  43087","  36795","  43647","  50215","  72454","  44113","  38095","  68204","  26292","  40877","  31684","  46519","  32318","  55910"," 120622"," 111619","  53605","  46063","  85981","  72967","  96221","  54959","  58166","  71731","  49356","  67277","  40453","  42041","  49055"," 118685","  36420","  42994","  56739","  38471","  31209","  95877"," 711665"," 261270"," 821170"," 948296"," 321043"," 463252"," 388379","2246220"," 427315"," 317604"," 970703"," 464711","1212634"," 899318"," 736140"," 895130","1029131","1222163","1038573"," 951519"," 432787","  56769"
"TAG 50:1e; TAG 16:0e-16:0-18:1; [M+NH4]+","  486"," 1092","  174","  460","  523","  323","  810","  373","  172","  863","  235","  470","  195","  357","  257","  309","  305","  632","   76","  340"," 1084"," 1071","  188","  376","  349","  294","  207","  489","  465","  399","  253","  186","  834","  151","  367","  582","  362","  375","  369","  384","  366","  574","  783","  285","  364","  617","  317","  339","  359","  270","  130","  429","  865"," 1065"," 1266","  875","  660","  769","  228"," 1004","  743","  522","  466","  483","  343","  521","  240","  152","  194","  372","  497","  209"," 3073","  914"," 6989"," 1842"," 4416"," 1648"," 2273"," 3400"," 3187"," 3181"," 2261"," 2893"," 2806"," 2797"," 2899","  877"," 4639","86013"," 2246"," 1895"," 1566","  530"
"TAG 50:2; TAG 16:0-16:1-18:1; [M+Na]+","16926","10162"," 8354","12725","11030","10615","15349"," 9997","16767"," 9885"," 9602","13135"," 4896"," 9175"," 9285","12578"," 8858"," 6301","18506","10223","11370","12953"," 7590","10751"," 7549","15063"," 9976","10036","10859"," 6355"," 5283"," 7392"," 7901","13624","12945"," 6269"," 7845"," 5769","11750","11243","13400"," 8675","12820","12874"," 4870"," 7331"," 7914","10363"," 6037","15418","23249","18923","11379","16214","19996","12086","27927","16952","13733","13907","10411","10278"," 9172","10524"," 9756","16359"," 8192","13238","11362","11986"," 9927","11364","68683","48971","55412","62369","33406","51116","45864","72047","40155","41191","51672","35831","44754","60598","45813","57264","54475","69884","71433","52582","30061","22129"
"TAG 50:2; TAG 16:0-16:1-18:1; [M+NH4]+"," 213735"," 121945","  90104"," 141987"," 137200"," 113014"," 162196"," 148248"," 297396","  92503"," 132557"," 173114","  44847","  95468"," 204278"," 208904"," 134650","  99134"," 290165"," 150491"," 179787"," 286299"," 111650"," 171478","  95768"," 213088"," 160693"," 127845"," 131451","  56700","  53766","  69284","  90429"," 150855"," 148184","  70056","  96577","  64649"," 110396"," 152334"," 235042"," 101034"," 127138"," 197225","  53456","  77664"," 100494"," 126263","  64963"," 122432"," 275531"," 254899"," 172113"," 250035"," 418766"," 141784"," 316047"," 166330"," 145149"," 151284"," 144806"," 134491"," 100464"," 116296"," 153158"," 396295","  81578"," 150824"," 112962"," 160426"," 113736"," 184043","2106164","1303848","2012212","2054234","1022179","1123806","1236657","2966308","1426380","1317308","2199044","1313301","1673073","1812516","1186501","1426941","2669354","9014630","2281838","1869108","1208341","  75597"
"TAG 50:3; TAG 16:0-16:1-18:2; [M+Na]+"," 16316"," 13708","  5496"," 11515"," 12801","  7615"," 10382"," 13331"," 19950","  8957","  9395"," 17068","  2830","  9236"," 12918","  6803","  8426","  4293"," 20910","  8036"," 11158"," 24267","  7695","  8678","  4882"," 17608"," 13627","  8971","  9946","  6814","  6334","  5516","  5436"," 12777","  7776","  4563","  5368","  4639","  7928","  9993","  8400","  7187","  6344","  9644","  3827","  4811","  5892","  6621","  4619"," 12054"," 23201"," 12519"," 12940"," 14815"," 32090"," 11247"," 24750"," 10057","  7682"," 11066"," 12965"," 11054","  8412","  9749","  9754"," 18849","  5998"," 12180","  6128"," 13422","  8776"," 11663"," 75434"," 64381"," 45687"," 75448"," 50548"," 49440"," 42568"," 75250"," 38427"," 72009"," 66353"," 54981"," 47702"," 65444"," 53333"," 45271"," 97412","138795"," 80955"," 51439"," 41486","117309"
"TAG 50:3; TAG 16:0-16:1-18:2; [M+NH4]+"," 169924"," 107284","  43212","  95391"," 138494","  59709","  75308"," 114928"," 197580","  91672"," 106108"," 154250","  19415","  61617"," 135527"," 100293","  97321","  37687"," 235163","  73755"," 101512"," 249210","  66594"," 128480","  49609"," 155248"," 123237","  88227","  73900","  35145","  41043","  40791","  42788","  88416","  87717","  35183","  47143","  45814","  92559","  74614"," 131326","  67456","  72978"," 132416","  30677","  38889","  55755","  74853","  31866","  85555"," 207352"," 127367"," 127265"," 206618"," 333398","  92039"," 333466","  83564","  59489"," 111502"," 166459","  94862","  66018","  97379"," 123410"," 247385","  45809"," 112022","  54739"," 173206"," 114971","  97417","1316124","1323077"," 919439","1399749"," 953428"," 539484","1525880","1225771","1099882","1075802","1192060","1061581","1023828","1469925"," 782755"," 737766","2423780","8085746","1841965"," 938226","1429012","  15009"
"TAG 50:4; TAG 16:1-16:1-18:2; [M+Na]+","  7635","  4112","  1153","  3830","  5237","  1594","  3658","  4662","  6879","  4359","  3654","  6991","  1239","  3793","  3492","  4019","  3600","   967","  9771","    45","  4190","  8873","  2618","  6335","  2848","  7066","  5226","  2829","  2984","   757","  1869","  2266","  2733","  3673","  3386","  1268","  1490","  1648","  4730","  2812","  4231","  2348","  2718","  5440","  1665","   974","  2836","  1732","   987","  3363"," 11152","  5231","  6588","  7330"," 15541","  4008"," 16617","  4728","  3156","  5759","  8464","  5008","  2783","  4138","  6260","  6106","  1858","  6165","  2519","  8239","  6262","  2991"," 33498"," 34317"," 24149"," 37929"," 35622"," 14062"," 41377"," 34265"," 25864"," 40131"," 32015"," 30119"," 23670"," 36101"," 23066"," 17260"," 52916","106276"," 37381"," 25199"," 37339","  7007"
"TAG 50:4; TAG 16:1-16:1-18:2; [M+NH4]+","  47187","  33776","   9549","  17838","  46158","  11078","  16634","  26357","  40193","  27798","  21200","  44906","   5474","  28115","  24125","  20539","  26701","  10756","  64321","  16123","  28678","  63000","  15169","  48859","  22230","  50952","  40840","  32138","  16277","  12765","  12458","  14996","  12196","  19644","  19346","   7201","   9994","  13585","  27061","  20621","  24698","  13200","  19783","  40124","  10774","  10000","  14093","  13191","   7677","  27546","  76433","  28009","  58865","  58171"," 129365","  18870","  99741","  18349","  16272","  29204","  67164","  27466","  15262","  26315","  45253","  55437","  12127","  36560","  13072","  54740","  32376","  21334"," 275542"," 366591"," 208890"," 261270"," 303595","  73874"," 387835"," 222430"," 404740"," 421332"," 252284"," 269594"," 178212"," 288594"," 120002"," 108320"," 654899","2500976"," 482384"," 228057"," 444134","  16036"
"TAG 50:5; TAG 16:1-16:2-18:2; [M+NH4]+"," 15790","  7955","  1238","  3589"," 22850","  1617","  6247","  6530"," 12361"," 12554","  4680"," 15495","  1708"," 16994","  4625","  4396","  7457","  2515"," 23332","  5735"," 10904"," 17107","  4245"," 26438"," 10929"," 18315"," 15782"," 22347","  1140","  4516","  5102","  7092","  4144","  5900","  5161","  2589","  4919","  6623","  7950","  8410","  5218","  3223","  3384"," 16049","  3136","  2218","  1851","  3886","  3102"," 13467"," 32267","  8577"," 28398"," 16742"," 53818","  6801"," 46014","  5656","  5455"," 17460"," 25767","  9877","  5118"," 10139"," 16044","  9987","  6088"," 16266","  4721"," 11589"," 11557","  5882"," 23516"," 30155"," 20569"," 18838"," 41632","  8569"," 39751"," 19088"," 35630"," 35493","   292"," 32128"," 14180"," 24071","  9088"," 10109"," 39772","130765"," 37223"," 14599"," 35632"," 21747"
"TAG 51:1; TAG 16:0-17:0-18:1; [M+NH4]+","  8618","  7911","  9063","  5636","  8732","  6997","  3962","  4088","  7461","  4897","  8443","  5552","  4629","  3997","  5483","  4429","  6208","  4797","  4668","  5279","  5917","  6427","  5269","  4108","  5268","  6953","  9660","  9398","  5616","  7347","  3745","  4274","  2245","  4330","  5112","  5688","  2698","  4169","  5846","  6244","  4949","  4846","  2908","  5801","  3023","  5842","  3494","  5223","  6009","  5114","  6037","  4902","  7281"," 12874","  6681","  5347","  6467","  5003","  4717","  8887","  5100","  5299","  5710","  6094","  4632","  7632","  3894","  4328","  5668","  3619","  5848","  5760"," 16706","  9333"," 15862"," 16479"," 13863"," 11745"," 12090"," 27762"," 11132","  8489"," 16428"," 10367"," 30481"," 15744"," 11733","  8116"," 42081","223728"," 11168"," 14997","  7205","  1759"
"TAG 51:2; TAG 16:0-17:1-18:1; [M+NH4]+"," 13833"," 12302","  8500"," 13080"," 11219"," 10302"," 13078"," 11126"," 15737","  8350"," 13237","  8463","  6308"," 12084"," 12589"," 10087","  6130","  7593"," 14642"," 12570"," 10287"," 17706"," 12316"," 16323","  7620"," 18489"," 13750"," 13089","  9206","  9668","  9008","  6583","  8776","  7411"," 10781"," 13375"," 10715","  8847","  8359"," 10763"," 10906"," 10498"," 13183","  9079","  6119","  6313","  2417","  9322","  2284","  9835"," 19773"," 13478"," 12705"," 13819"," 17823"," 15502"," 24643","  7686"," 16852","  9420"," 11272","  9893","  7227","  7617"," 10153"," 26743","  6679"," 11050"," 10153"," 10918"," 11032"," 11817"," 25044"," 28864"," 41818"," 28719"," 32102"," 17559"," 30568"," 43140"," 36061"," 33461"," 29404"," 48967"," 26293"," 29762"," 21714"," 19709"," 83090","384688"," 37386"," 25075"," 24963","  1786"
"TAG 51:3; TAG 15:0-18:1-18:2; [M+NH4]+","  5667","  8756","  4845","  6378"," 10264","  6657","  4801","  8409"," 13758","  6937","  9867","  8213","  2634","  6223"," 10406","  7356","  6259","  4453","  8064","  7150","  6424"," 14080","  5838"," 11273","  7724"," 10467"," 11273","  8385","  7659","  6182","  4081","  5231","  6554","  6493","  5048","  3801","  4342","  5541","  6853","  6715","  7962","  4405","  5635","  9317","  4572","  3433","  4032","  4047","  5729","  6137","  8990","  6218","  8150"," 15684"," 14283","  6951"," 16303","  4968","  4205","  5988","  8980","  7106","  5681","  6809","  7878"," 15276","  2654","  8140","  4485"," 10082","  7453","  7137"," 19713"," 25230"," 19452"," 22792"," 31697","  6710"," 33635"," 23245"," 37098"," 34348"," 20442"," 30549"," 15488"," 21686"," 11817"," 13376"," 85098","214189"," 36486"," 22108"," 35081","  2934"
"TAG 51:4; TAG 16:1-17:1-18:2; [M+NH4]+"," 2274"," 5089"," 1800"," 2134"," 5945"," 2140"," 2616"," 4258"," 4282"," 5162"," 2488"," 3230","  770"," 3840"," 3435"," 7632"," 2478"," 1967"," 4712"," 2931"," 3212"," 6911"," 2118"," 5467"," 2031"," 5777"," 7502"," 5028"," 1357"," 1030"," 3023"," 2140"," 1832"," 3366"," 2918"," 1960"," 2241"," 2080"," 3733"," 2832"," 5003"," 1672"," 4100"," 4589"," 1698"," 1214"," 2384"," 2129"," 2030"," 3353"," 2045"," 2315"," 4168"," 5485"," 8683"," 3023"," 7141"," 2123"," 1450"," 2727"," 4323"," 3038"," 2750"," 1930"," 3278","10351"," 1456"," 2946"," 1382"," 4069"," 2950"," 1260"," 5895"," 9726"," 6560"," 6808","10876"," 2408","18577"," 9950","13719","13676"," 6661"," 7568"," 5175"," 6529"," 4267"," 2968","27237","53410","12745"," 7158","12776","49793"
"TAG 52:0; TAG 16:0-18:0-18:0; [M+NH4]+","  9778"," 11882"," 13342"," 11361"," 18670"," 10252","  8609"," 12959"," 13930","  7152","  8017","  7213","  9535","  5410","  8686","  7103","  8183"," 11397","  7125","  7195"," 10837","  5879"," 10022","  8932"," 12289"," 15718"," 15507"," 13574"," 14063"," 10322"," 11068","  8822","  5749","  6740","  8497","  7505","  7643","  8199","  5775","  7867","  7520"," 11574","  5252"," 10658","  6129"," 11798","  5912","  8501"," 13070","  9430"," 12379"," 12997"," 14014"," 16629"," 10440","  9882"," 10496","  9534"," 10014"," 13927"," 10961","  8997","  6130","  8688"," 10947","  8778","  8968","  8293","  9902","  6603","  7545","  8966"," 16514"," 10716"," 14466"," 17490","  9725"," 23976","  8632","188799","  9406"," 16130"," 30945"," 14265","130357"," 26445"," 17630"," 10989"," 20998","362596"," 10444"," 13353","  6027","  7386"
